IE_XML_ID;IE_NAME;IP_PROP45
5072;Спицы чулочные деревянные, Lana Grossa, 20 см, 3 мм;
5073;Спицы чулочные деревянные, Lana Grossa, 15 см, 2.5 мм;
5074;Спицы деревянные, Lana Grossa,80 см, 5.5 мм;
3518;Пряжа BBB Meriseta, меринос/шелк, 140 м/50 г.;
4241;Пряжа Baby Gioia, меринос, 187 м/50 г.;
4598;Пряжа BBB Zarra, меринос/акрил, 90 м/ 50 г.;
4610;Пряжа New Master, меринос/акрил, 125 м/50 г.;
4674;Пряжа BBB Soft Dream, мохер/шелк, 200 м/25 г;
4689;Пряжа BBB Full, меринос, 90 м/50 г.;
4824;Пряжа BBB Angora 70, ангора, полиамид, 125 м/25 г;
4882;Пряжа Portorico, шерсть/акрил/мохер/полиамид, 65 м/50 г.;
4913;Пряжа Setal, беби альпака/шелк, 155 м/25 г;
4919;Пряжа BBB Record, меринос, 175 м/50 г;
4921;Пряжа Premiere, меринос, 125 м/50 г.;
4933;Пряжа Mega Alpaca, альпака/шерсть/акрил, 80 м/100 г.;
3075;Пряжа Lana Gatto MAXI VIP, меринос экстрафайн/кашемир, 100 м/50 г;
3079;Пряжа Lana Gatto MAXI SOFT, меринос экстрафайн, 90 м/50 г;
3319;Пряжа Lana Gatto SILK MOHAIR LUX, суперкид мохер/шелк/полиамид/полиэстер, 210 м/25 г;
3894;Бобинная пряжа Lana Gatto Harmony, меринос, 1500 м/100 г;
4208;Пряжа Biagiolli Modesto Cash/Seta, кашемир/шелк, 325м/100 г;
4210;Пряжа Jaipur Cariaggi, кашемир/шелк, 2800 м/100 г;
4214;Пряжа Loro Piana, кашемир/шелк, 3000 м/100 г;
4216;Пряжа Botto Poala, кашемир/шелк, 3000 м/100 г;
4228;Пряжа Kork, меринос/ангора/шелк/полиамид/модаль, 466 м/100 г;
4400;Пряжа Lana Gatto Sugar, вискоза, 125 м/ 50 г;
4734;Пряжа Lana Gatto Lapponia 1000, шерсть/акрил, 100 м/100 г;
4770;Пряжа Lana Gatto Super Soft,  меринос, 125 м/50 г;
4838;Пряжа Lana Gatto English Tweed, меринос, 85 м/50 г;
4935;Пряжа Lana Gatto Lapponia 2000, меринос/акрил, 100 м/50 г.;
4942;Пряжа Lana Gatto Felix SW, меринос/акрил, 120 м/50 г;
4947;Пряжа Lana Gatto Feeling, меринос/шелк/кашемир, 140 м/ 50 г.;
4956;Пряжа Lana Gatto Ippocastano, шерсть/акрил, 60 м/ 50 г;
4371;Пряжа Alize Super Lana Klassic, шерсть/акрил, 280 м/100 г;
4379;Пряжа Alize Cotton Baby Soft, хлопок/акрил, 270 м/100 г;
2540;Коннекторы ChiaoGoo;
2572;"Набор ""Deluxe Set"" съемных спиц ""Nova cubics"", KnitPro, Индия";
2591;Спицы чулочные бамбуковые ChiaoGoo тёмные, 15 см, 2,25-10 мм;
2593;Спицы чулочные бамбуковые ChiaoGoo светлые, 13 см, 2-8 мм;
2878;Набор бамбуковых разъёмных спиц ChiaoGoo Complete, 13 см;
2879;Набор бамбуковых разъёмных спиц ChiaoGoo Complete, 10 см;
2880;Набор бамбуковых разъёмных спиц ChiaoGoo Small, 10 см;
2881;Съемные бамбуковые спицы ChiaoGoo SPIN Bamboo Tips, 13 см, 2.75-10 мм;
3011;Спицы круговые KnitPro Royale, 80 см, 3-12 мм;
3015;Спицы круговые KnitPro Symfonie, 100 см, 2-12 мм;
3018;Спицы чулочные KnitPro Royale, 20 cм, 2-8 мм;
3023;Набор деревянных носочных спиц 10 см Symfonie Wood KnitPro;
3038;Круговые металлические спицы ChiaoGoo RED Lace, 100 см, 1,5-15 мм;
3234;Набор съемных металлических спиц ChiaoGoo TWIST SHORTIES, 5 см и 8 см;
3441;Круговые бамбуковые спицы ChiaoGoo , 60 см, 1,5-15 мм;
3444;Набор бамбуковых разъёмных спиц ChiaoGoo Small, 13 см;
3445;Круговые металлические спицы ChiaoGoo RED Lace, 120 см, 1,5-15 мм;
3476;Тросик для съёмных спиц KnitPro , 80 см;
3477;Тросик для съёмных спиц KnitPro , 60 см;
3478;Спицы круговые KnitPro Cubics, 100 см, 3-8 мм;
3482;Спицы круговые KnitPro Symfonie, 120 см, 2-12 мм;
3531;Набор металлических разъёмных спиц ChiaoGoo Complete, 10 см;
3546;Набор чулочных спиц KnitPro Symfonie, 20 см;
3547;Набор съемных спиц KnitPro Cubics, Special Interchangeable Needle Set;
3548;Спицы круговые KnitPro Cubics, 80 см, 3-8 мм;
3554;Спицы круговые KnitPro Cubics, 60 см, 3-8 мм;
3564;Набор ультратонких разъёмных спиц ChiaoGoo Mini TWIST Set, 13 см;
3565;Съемные бамбуковые спицы ChiaoGoo SPIN Bamboo Tips, 10 см, 2.75-10 мм;
3617;Адаптеры ChiaoGoo (переходники);
3621;Стопперы ChiaoGoo;
3626;Набор металлических разъёмных спиц ChiaoGoo Small, 13 см;
3642;Леска ChiaoGoo SPIN, к бамбуковым спицам S, 20-125 см;
3646;Съемные металлические спицы ChiaoGoo TWIST Lace Tips, 13 см, 1,5-10 мм;
3662;Съемные металлические спицы ChiaoGoo TWIST Lace Tips, 10 см, 1,5-10 мм;
3675;Круговые металлические спицы ChiaoGoo Knit Red, 100 см, 2-8 мм;
3682;Круговые металлические спицы ChiaoGoo Knit Red, 80 см, 2-8 мм;
3694;Круговые металлические спицы ChiaoGoo Knit Red, 60 см, 2-8 мм;
3701;Круговые металлические спицы ChiaoGoo RED Lace, 80 см, 1,5-15 мм;
3758;Спицы чулочные KnitPro Cubics, 15 см, 2-4 мм;
3764;Спицы круговые KnitPro Symfonie, 60 см, 2-12 мм;
3771;Спицы чулочные KnitPro Karbonz, 20 см, 1-6 мм;
3777;Спицы чулочные KnitPro Karbonz, 15 см, 1 - 6 мм;
3784;Спицы круговые KnitPro Cubics, 40 см, 3-8 мм;
3788;Набор чулочных спиц KnitPro Karbonz, 15 см;
3789;Набор чулочных спиц KnitPro Karbonz, 20 см;
3790;Набор съемных спиц KnitPro Deluxe Set Cubics;
3791;Набор чулочных спиц KnitPro Royale, 20 см;
3792;Спицы круговые KnitPro Royale, 120 см, 3-12 мм;
3795;Спицы чулочные KnitPro Symfonie, 10 см, 2-4 мм;
4138;Спицы прямые KnitPro Zing, 30 см, 2-12 мм;
4144;Спицы прямые KnitPro Zing, 25 см, 2-12 мм;
4149;Набор деревянных носочных спиц 15 см Symfonie Wood KnitPro;
4156;Спицы круговые KnitPro Symfonie, 80 см, 2-12 мм;
4169;Спицы чулочные KnitPro Symfonie, 15 см, 2-8 мм;
4177;Набор чулочных спиц KnitPro Royale, 15 см;
4184;Набор съемных спиц KnitPro Royale Midi;
4191;Спицы съемные KnitPro Royale, 3-12 мм;
4196;Набор съемных спиц KnitPro Deluxe Zing;
4406;Круговые металлические спицы ChiaoGoo RED Lace, 40 см, 1,5-10 мм;
4413;Круговые металлические спицы ChiaoGoo RED Lace, 60 см, 1,5-15 мм;
4418;Круговые металлические спицы ChiaoGoo Knit Red, 30 см, 1.5-5 мм;
4424;Круговые металлические спицы ChiaoGoo Knit Red, 23 см, 1,5-5 мм;
4432;Круговые металлические спицы ChiaoGoo Knit Red, 40 см, 2-8 мм;
4440;"Спицы ChiaoGoo ""I love knitting"", 5,5-10 мм";
4442;"Спицы ChiaoGoo ""Find A Cure"", 4-10 мм";
4455;Набор металлических разъёмных спиц ChiaoGoo Complete, 13 см;
4473;Набор спиц ADDI CLICK LACE Long Tips;
4482;Набор спиц ADDI CLICK LACE Short Tips;
4534;Спицы чулочные KnitPro Zing, 20 см, 2-8 мм;
4549;Спицы чулочные KnitPro Zing, 15 см, 2-8 мм;
4556;Спицы чулочные KnitPro Royale, 15 cм, 2-8 мм;
4567;Спицы KnitPro Symfonie круговые, 40 см, 2-12 мм;
4582;Набор прямых спиц KnitPro Zing;
4841;Спицы Addi круговые, 40 см, 2.5-6.0 мм;
4855;Спицы Addi круговые, 120 см, 3-5 мм;
4988;Съемные металлические спицы ChiaoGoo TWIST SS Lace Tips, 8 см, [M], 1,5-10 мм;
2539;Набор тунисских крючков ChiaoGoo T-SPIN Bamboo, бамбук, 14,5 см;
3508;"Афганский крючок для вязания KnitPro ""Basix Aluminum"", 2-5 мм";
4516;"Крючок для вязания KnitPro ""Steel"", с черной ручкой и с золотистым наконечником, 0,5-1,75 мм";
4521;"Крючок для вязания KnitPro ""Aluminum"", серебристый, 2-12 мм";
4526;"Крючок для вязания KnitPro ""Aluminum"", золотистый, 2-12 мм";
4805;Крючок CLOVER SOFT TOUCH  0,5-6 мм;
2527;Журнал Lana Grossa Design Special № 5;
2570;"Журнал Lаna Grossa:Home N.68"" (на рус. языке), AW 2017/18";
2571;Журнал Lаna Grossa: Filati N.54;
2573;Книга 168 жаккардовых узоров;
2574;Книга Мелисса Липман  6000+ свитеров, джемперов и пуловеров. Универсальный конструктор для вязания любых моделей на все размеры;
2597;Уютная коллекция носков. Вяжем спицами;
2598;"Книга ""Rowan - 40 Years"", MEZ, Германия";
